ÜRÜN BİLGİ FORMU EKSİK OLAN ÜRÜNLER LİSTESİ
Tarih: 28.08.2026
Toplam eksik: 526 ürün

Model               Ürün Adı
KSL2075             KSL2075 (280cm) 95W Sıva Altı Hıgh Power Lınear Mercekli
KSL2081             KSL2081 (14cm) 5W Sıva Üstü Hıgh Power Lınear Mercekli
KSL2082             KSL2082 (28cm) 10W Sıva Üstü Hıgh Power Lınear Mercekli
KSL2083             KSL2083 (66cm) 25W Sıva Üstü Hıgh Power Lınear Mercekli
KSL2084             KSL2084 (105cm) 40W Sıva Üstü Hıgh Power Lınear Mercekli
KSL2085             KSL2085 (118cm) 45W Sıva Üstü Hıgh Power Lınear Mercekli
KSL2731             KSL2731 (60cm) 45W Altıgen Davul Lınear
KSL2732             KSL2732 (90cm) 110W Altıgen Davul Lınear
KSL2733             KSL2733 (120cm) 200W Altıgen Davul Lınear
KSL420              KSL420 DEKORATİF SARKIT ARMATÜR
KSL512              KSL512 DEKORATİF SARKIT ARMATÜR
KSL513              KSL513 DEKORATİF SARKIT ARMATÜR
KSL515              KSL515 DEKORATİF SARKIT ARMATÜR
KSL518              KSL518 DEKORATİF SARKIT ARMATÜR
KSL65A              KSL65A (ø80) 65W Hıgh Mercekli Altıgen Lınear
KSL65K              Ksl65k(65x65) 85W Hıgh Kare Mercekli Lınear
KSL65SF             KSL65SF (ø80) 30W Hıgh Mercekli Altıgen Soft Lınear
KSL900              KSL900 CCT ÇİFT RENK SPOT
KSLCY2801           Kslcy2801 (30x50x70) 165W Yuvarlak Saturn Çift Yönlü Lınear
KSLCY2802           Kslcy2802 (40x60x80) 200W Yuvarlak Saturn Çift Yönlü Lınear
KSLCY2803           Kslcy2803 (50x70x90) 235W Yuvarlak Saturn Çift Yönlü Lınear
KSLCY2804           Kslcy2804 (60x80x100) 270W Yuvarlak Saturn Çift Yönlü Lınear
KSLCY2805           Kslcy2805 (70x90x110) 300W Yuvarlak Saturn Çift Yönlü Lınear
KSLCY2806           Kslcy2806 (80x100x120) 335W Yuvarlak Saturn Çift Yönlü Lınear
KSLCY2820           Kslcy2820 (30x50x70) 210W Kare Saturn Çift Yönlü Lınear
KSLCY2821           Kslcy2821 (40x60x80) 250W Kare Saturn Çift Yönlü Lınear
KSLCY2822           Kslcy2822 (50x70x90) 315W Kare Saturn Çift Yönlü Lınear
KSLCY2823           Kslcy2823 (60x80x100) 345W  Kare Saturn Çift Yönlü Lınear
KSLCY2824           Kslcy2824 (70x90x110) 380W Kare Saturn Çift Yönlü Lınear
KSM103              KSM103 ŞARJ EDİLEBİLİR PLASTİK KABİN AYDINLATMASI
KSM104              KSM104 ÇİFT YÖNLÜ KUMANDALI DOKUNMATİK MAGNET APLİK
KSM105              KSM105 ÇİFT YÖNLÜ KUMANDALI DOKUNMATİK MAGNET APLİK
KSM106              KSM106 RGB DOKUNMATİK MASA LAMBASI
KSM107              KSM107 ÇİFT YÖNLÜ KUMANDALI DOKUNMATİK MAGNET APLİK
KSP100              KSP100 BANYO DUVAR BACA ASPİRATÖRÜ
KSP120              KSP120 BANYO DUVAR BACA ASPİRATÖRÜ
KSP150              KSP150 BANYO DUVAR BACA ASPİRATÖRÜ
KSS001              KSS001 Matrıx Panel LED RGB
KST208              KST208 LEDLİ SOKAK ARMATÜRÜ (LENSLİ)
KST209              KST209 LEDLİ SOKAK ARMATÜRÜ (LENSLİ)
KST301              KST301 SOLAR LED PROJEKTÖR
KST302              KST302 SOLAR LED PROJEKTÖR
KST304              KST304 SOLAR LED PROJEKTÖR
KST305              KST305 SOLAR LED PROJEKTÖR
KST306              KST306 SOLAR LED PROJEKTÖR
KST310              KST310 SOLAR LED PROJEKTÖR
KT287A              KT287A ZAMAN SAATİ
KT293               KT293 ZAMAN SAATİ
KT294               KT294 AYDINLATMA KONTAKTÖRÜ
KTL143              KTL143 LED RAY SPOT
KTL148              KTL148 LED RAY SPOT
KTL162              KTL162 ULUBAT DİFÜZÖRLÜ MAGNET ARMATÜR
KTL165              KTL165 BAFA LENSLİ MAGNET ARMATÜR
KTL165D             KTL165D BAFA LENSLİ MAGNET ARMATÜR
KTL166              KTL166 BAFA LENSLİ MAGNET ARMATÜR
KTL166D             KTL166D BAFA LENSLİ MAGNET ARMATÜR
KTL200              KTL200 DEKORATİF RAY SPOT
KTL201              KTL201 DEKORATİF RAY SPOT
KTL202              KTL202 DEKORATİF RAY SPOT
KTL203              KTL203 DEKORATİF RAY SPOT
KWL108              KWL108 WALLWASHER
KWL117              KWL117 WALLWASHER
KWL118              KWL118 WALLWASHER
KWL120              KWL120 WALLWASHER
KWL121              KWL121 WALLWASHER
KWL122              KWL122 WALLWASHER
KWL123              KWL123 WALLWASHER
KWL129              KWL129 WALLWASHER
KWLD120             KWLD120 DIŞ MEKAN LED TRAFO
KWLD150             KWLD150 DIŞ MEKAN LED TRAFO
KWLD200             KWLD200 DIŞ MEKAN LED TRAFO
KWLD60              KWLD60 DIŞ MEKAN LED TRAFO
